[2015-01-10 08:19:02  - Info ] Fin creación índices.
[2015-01-10 08:19:24  - Info ] Nombre fichero seleccionado:100.txt
[2015-01-10 08:19:24  - Info ] Creada conexión a base de datos
[2015-01-10 08:19:24  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 08:19:24  - Info ] Creada coleccion.
[2015-01-10 08:19:24  - Info ] Inicio carga de datos.
[2015-01-10 08:19:24  - Info ] Creando índice.
[2015-01-10 08:19:24  - Info ] Creado índice.
[2015-01-10 08:19:24  - Info ] Fin carga de datos.
[2015-01-10 08:19:24  - Info ] Inicio creación índices.
[2015-01-10 08:19:24  - Info ] Fin creación índices.
[2015-01-10 08:29:54  - Info ] Nombre fichero seleccionado: 100.txt
[2015-01-10 08:29:54  - Info ] Creando keyspace
[2015-01-10 08:29:55  - Info ] Creado keyspace
[2015-01-10 08:29:55  - Info ] Creando Column Family
[2015-01-10 08:29:57  - Info ] Creada Column Family
[2015-01-10 08:29:57  - Info ] Inicio inserción datos
[2015-01-10 08:29:58  - Info ] Fin inserción datos
[2015-01-10 08:29:58  - Info ] Inicio creación índice
[2015-01-10 08:30:00  - Info ] Fin creación índice
[2015-01-10 08:42:13  - Info ] Nombre fichero seleccionado:100.txt
[2015-01-10 08:42:14  - Info ] Creada conexión a base de datos
[2015-01-10 08:42:14  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 08:42:14  - Info ] Creada coleccion.
[2015-01-10 08:42:14  - Info ] Inicio carga de datos.
[2015-01-10 08:42:14  - Info ] Creando índice.
[2015-01-10 08:42:14  - Info ] Creado índice.
[2015-01-10 08:42:14  - Info ] Fin carga de datos.
[2015-01-10 08:42:14  - Info ] Inicio creación índices.
[2015-01-10 08:42:14  - Info ] Fin creación índices.
[2015-01-10 08:42:43  - Info ] Nombre fichero seleccionado:100.txt
[2015-01-10 08:42:45  - Info ] Creada conexión a base de datos
[2015-01-10 08:42:45  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 08:42:45  - Info ] Creada coleccion.
[2015-01-10 08:42:45  - Info ] Inicio carga de datos.
[2015-01-10 08:42:45  - Info ] Creando índice.
[2015-01-10 08:42:45  - Info ] Creado índice.
[2015-01-10 08:42:45  - Info ] Fin carga de datos.
[2015-01-10 08:42:45  - Info ] Inicio creación índices.
[2015-01-10 08:42:45  - Info ] Fin creación índices.
[2015-01-10 08:44:52  - Info ] Nombre fichero seleccionado: 100.txt
[2015-01-10 08:44:52  - Info ] Creada conexión a base de datos
[2015-01-10 08:44:52  - Info ] Seleccionamos base de datos TFG.
[2015-01-10 08:44:52  - Info ] Creada coleccion.
[2015-01-10 08:44:52  - Info ] Inicio carga de datos.
[2015-01-10 08:44:52  - Info ] Creando índice.
[2015-01-10 08:44:52  - Info ] Creado índice.
[2015-01-10 08:44:53  - Info ] Fin carga de datos.
[2015-01-10 08:44:53  - Info ] Inicio creación índices.
[2015-01-10 08:44:53  - Info ] Fin creación índices.
[2015-01-10 08:45:12  - Info ] Nombre fichero seleccionado: 100.txt
[2015-01-10 08:45:14  - Info ] Creando keyspace
[2015-01-10 08:59:52  - Info ] Nombre fichero seleccionado: 100.txt
[2015-01-10 08:59:53  - Info ] Creada conexión a base de datos
[2015-01-10 08:59:53  - Info ] Seleccionamos base de datos TFG.
