[2015-01-22 19:18:13  - Info ] Inicio test: MON_5 fichero: 700000.txt en colección: coleccion_700000
[2015-01-22 19:18:13  - Info ] Número de ocurrencias encontradas: 5
[2015-01-22 19:18:13  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:13  - Info ] Inicio test: MON_6 fichero: 700000.txt en colección: coleccion_700000
[2015-01-22 19:18:13  - Info ] Número de ocurrencias encontradas: 3422
[2015-01-22 19:18:13  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:13  - Info ] Inicio test: MON_7 fichero: 700000.txt en colección: coleccion_700000
[2015-01-22 19:18:13  - Info ] Número de ocurrencias encontradas: 3990
[2015-01-22 19:18:14  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:14  - Info ] Inicio test: MON_8 fichero: 700000.txt en colección: coleccion_700000
[2015-01-22 19:18:14  - Info ] Número de ocurrencias encontradas: 101957
[2015-01-22 19:18:14  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:14  - Info ] Inicio test: MON_1 fichero: 800000.txt en colección: coleccion_800000
[2015-01-22 19:18:21  - Info ] Número de ocurrencias encontradas: 194400
[2015-01-22 19:18:21  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:21  - Info ] Inicio test: MON_2 fichero: 800000.txt en colección: coleccion_800000
[2015-01-22 19:18:27  - Info ] Número de ocurrencias encontradas: 604761
[2015-01-22 19:18:27  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:27  - Info ] Inicio test: MON_3 fichero: 800000.txt en colección: coleccion_800000
[2015-01-22 19:18:27  - Info ] Número de ocurrencias encontradas: 60678
[2015-01-22 19:18:27  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:27  - Info ] Inicio test: MON_4 fichero: 800000.txt en colección: coleccion_800000
[2015-01-22 19:18:34  - Info ] Número de ocurrencias encontradas: 3
[2015-01-22 19:18:34  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:34  - Info ] Inicio test: MON_5 fichero: 800000.txt en colección: coleccion_800000
[2015-01-22 19:18:35  - Info ] Número de ocurrencias encontradas: 3
[2015-01-22 19:18:35  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:35  - Info ] Inicio test: MON_6 fichero: 800000.txt en colección: coleccion_800000
[2015-01-22 19:18:35  - Info ] Número de ocurrencias encontradas: 4011
[2015-01-22 19:18:35  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:35  - Info ] Inicio test: MON_7 fichero: 800000.txt en colección: coleccion_800000
[2015-01-22 19:18:35  - Info ] Número de ocurrencias encontradas: 4575
[2015-01-22 19:18:35  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:35  - Info ] Inicio test: MON_8 fichero: 800000.txt en colección: coleccion_800000
[2015-01-22 19:18:36  - Info ] Número de ocurrencias encontradas: 116686
[2015-01-22 19:18:36  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:36  - Info ] Inicio test: MON_1 fichero: 900000.txt en colección: coleccion_900000
[2015-01-22 19:18:51  - Info ] Número de ocurrencias encontradas: 218066
[2015-01-22 19:18:51  - Info ] Registro actualizado correctamente
[2015-01-22 19:18:51  - Info ] Inicio test: MON_2 fichero: 900000.txt en colección: coleccion_900000
[2015-01-22 19:19:02  - Info ] Número de ocurrencias encontradas: 680967
[2015-01-22 19:19:02  - Info ] Registro actualizado correctamente
[2015-01-22 19:19:02  - Info ] Inicio test: MON_3 fichero: 900000.txt en colección: coleccion_900000
[2015-01-22 19:19:02  - Info ] Número de ocurrencias encontradas: 68841
[2015-01-22 19:19:02  - Info ] Registro actualizado correctamente
[2015-01-22 19:19:02  - Info ] Inicio test: MON_4 fichero: 900000.txt en colección: coleccion_900000
[2015-01-22 19:19:15  - Info ] Número de ocurrencias encontradas: 3
[2015-01-22 19:19:15  - Info ] Registro actualizado correctamente
[2015-01-22 19:19:15  - Info ] Inicio test: MON_5 fichero: 900000.txt en colección: coleccion_900000
[2015-01-22 19:19:15  - Info ] Número de ocurrencias encontradas: 4
[2015-01-22 19:19:15  - Info ] Registro actualizado correctamente
[2015-01-22 19:19:15  - Info ] Inicio test: MON_6 fichero: 900000.txt en colección: coleccion_900000
[2015-01-22 19:19:15  - Info ] Número de ocurrencias encontradas: 4543
[2015-01-22 19:19:15  - Info ] Registro actualizado correctamente
[2015-01-22 19:19:15  - Info ] Inicio test: MON_7 fichero: 900000.txt en colección: coleccion_900000
[2015-01-22 19:19:16  - Info ] Número de ocurrencias encontradas: 5200
[2015-01-22 19:19:16  - Info ] Registro actualizado correctamente
[2015-01-22 19:19:16  - Info ] Inicio test: MON_8 fichero: 900000.txt en colección: coleccion_900000
[2015-01-22 19:19:16  - Info ] Número de ocurrencias encontradas: 132044
[2015-01-22 19:19:16  - Info ] Registro actualizado correctamente
[2015-01-22 19:19:16  - Info ] Fin test base de datos MongoDB
[2015-01-22 19:28:16  - Info ] Inicio test base de datos MongoDB
[2015-01-22 19:28:18  - Info ] Inicio test: MON_1 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:28:18  - Info ] Número de ocurrencias encontradas: 24207
[2015-01-22 19:28:19  - Info ] Registro actualizado correctamente
[2015-01-22 19:28:19  - Info ] Inicio test: MON_2 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:28:19  - Info ] Número de ocurrencias encontradas: 75695
[2015-01-22 19:28:19  - Info ] Registro actualizado correctamente
[2015-01-22 19:28:19  - Info ] Inicio test: MON_3 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:28:19  - Info ] Número de ocurrencias encontradas: 7683
[2015-01-22 19:28:19  - Info ] Registro actualizado correctamente
[2015-01-22 19:28:19  - Info ] Inicio test: MON_4 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:28:20  - Info ] Número de ocurrencias encontradas: 1
[2015-01-22 19:28:20  - Info ] Registro actualizado correctamente
[2015-01-22 19:28:20  - Info ] Inicio test: MON_5 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:28:20  - Info ] Número de ocurrencias encontradas: 1
[2015-01-22 19:28:20  - Info ] Registro actualizado correctamente
[2015-01-22 19:28:20  - Info ] Inicio test: MON_6 fichero: 100000.txt en colección: coleccion_100000
[2015-01-22 19:28:20  - Info ] Número de ocurrencias encontradas: 500
[2015-01-22 19:28:20  - Info ] Registro actualizado correctamente
